#key,timestamp,value,count
1113,1456166962,5,8
1114,1456166968,5,8
1115,1456166974,6,8
1116,1456166980,6,8
1117,1456166986,6,8
1118,1456166992,6,8
1119,1456166998,7,8
1120,1456167004,7,8
1121,1456167010,7,8
1122,1456167016,7,8
1123,1456167022,7,8
1124,1456167028,7,8
1125,1456167034,7,8
1126,1456167040,7,8
1127,1456167046,7,8
1128,1456167052,6,8
1129,1456167058,6,8
1130,1456167064,6,8
1131,1456167070,6,8
1132,1456167076,6,8
1133,1456167082,6,8
1134,1456167088,6,8
1135,1456167094,6,8
1136,1456167100,6,8
1137,1456167106,6,8
1138,1456167112,6,8
1139,1456167118,6,8
1140,1456167124,6,8
1141,1456167130,6,8
1142,1456167136,6,8
1143,1456167142,6,8
1144,1456167148,7,8
1145,1456167154,7,8
1146,1456167160,6,8
1147,1456167166,6,8
1148,1456167172,7,8
1149,1456167178,7,8
1150,1456167184,7,8
1151,1456167190,7,8
1152,1456167196,7,8
1153,1456167202,7,8
1154,1456167208,7,8
1155,1456167214,7,8
1156,1456167220,8,8
1157,1456167226,8,8
1158,1456167232,9,8
1159,1456167238,11,8
1160,1456167244,11,8
1161,1456167250,11,8
1162,1456167256,11,8
1163,1456167262,11,8
1164,1456167268,14,8
1165,1456167274,16,8
1166,1456167280,20,8
1167,1456167286,20,8
1168,1456167292,22,8
1169,1456167298,25,8
1170,1456167304,25,8
1171,1456167310,25,8
1172,1456167316,25,8
1173,1456167322,25,8
1174,1456167328,29,8
1175,1456167334,30,8
1176,1456167340,33,8
1177,1456167346,33,8
1178,1456167352,34,8
1179,1456167358,36,8
1180,1456167364,36,8
1181,1456167370,36,8
1182,1456167376,36,8
1183,1456167382,36,8
1184,1456167388,38,8
1185,1456167394,38,8
1186,1456167400,40,8
1187,1456167406,40,8
1188,1456167412,41,8
1189,1456167418,43,8
1190,1456167424,43,8
1191,1456167430,43,8
1192,1456167436,43,8
1193,1456167442,43,8
1194,1456167448,45,8
1195,1456167454,46,8
1196,1456167460,48,8
1197,1456167466,48,8
1198,1456167472,49,8
1199,1456167478,50,8
1200,1456167484,50,8
1201,1456167490,50,8
1202,1456167496,50,8
1203,1456167502,50,8
1204,1456167508,51,8
1205,1456167514,51,8
1206,1456167520,52,8
1207,1456167526,52,8
1208,1456167532,52,8
1209,1456167538,52,8
1210,1456167544,52,8
1211,1456167550,52,8
1212,1456167556,52,8
1213,1456167562,52,8
1214,1456167568,53,8
1215,1456167574,53,8
1216,1456167580,54,8
1217,1456167586,54,8
1218,1456167592,54,8
1219,1456167598,55,8
1220,1456167604,55,8
1221,1456167610,55,8
1222,1456167616,55,8
1223,1456167622,55,8
1224,1456167628,56,8
1225,1456167634,56,8
1226,1456167640,57,8
1227,1456167646,57,8
1228,1456167652,58,8
1229,1456167658,59,8
1230,1456167664,59,8
1231,1456167670,59,8
1232,1456167676,59,8
1233,1456167682,59,8
1234,1456167688,60,8
1235,1456167694,60,8
1236,1456167700,61,8
1237,1456167706,61,8
1238,1456167712,61,8
1239,1456167718,62,8
1240,1456167724,62,8
1241,1456167730,62,8
1242,1456167736,62,8
